RxNodeID,TxID,CouplingLoss,BestRSRPNode
308,0,-159.12296040822687,6
308,61,-159.12296040822687,6
308,122,-129.50947268718613,6
309,0,-146.72275356578922,62
309,61,-124.62196255904988,62
309,122,-130.01697108481926,62
310,0,-84.94184968003022,0
310,61,-87.06159008111005,0
310,122,-105.65030545473523,0
311,0,-93.76477606570685,61
311,61,-72.56937466508232,61
311,122,-97.54161835539036,61
312,0,-134.95271419809006,4
312,61,-113.14878784636268,4
312,122,-140.8547342401989,4
313,0,-131.90474872658157,62
313,61,-144.65423644610834,62
313,122,-119.81030846693676,62
314,0,-137.77597339170154,5
314,61,-118.60481965083343,5
314,122,-117.64892244610189,5
315,0,-60.82217639175217,0
315,61,-89.74520213840572,0
315,122,-89.74520213840572,0
316,0,-102.23458438468131,0
316,61,-131.54854780988376,0
316,122,-131.54854780988376,0
317,0,-139.30277308031143,61
317,61,-111.7570735059758,61
317,122,-140.54102400468324,61
318,0,-146.5837595373212,61
318,61,-122.59786783840978,61
318,122,-150.7098300930761,61
319,0,-112.392373222901,122
319,61,-112.392373222901,122
319,122,-82.67172256605492,122
320,0,-148.77800202842738,122
320,61,-148.77800202842738,122
320,122,-119.66579248574811,122
321,0,-121.7258585151194,61
321,61,-110.3647673922749,61
321,122,-134.7557522192004,61
322,0,-142.19541813499035,122
322,61,-144.25782295536345,122
322,122,-115.68595865374657,122
323,0,-80.2584987140765,0
323,61,-98.12869620494341,0
323,122,-105.70164696470783,0
324,0,-92.3144634152796,122
324,61,-89.9596062244198,122
324,122,-64.07252271905561,122
325,0,-125.40620077535243,122
325,61,-134.2222836820257,122
325,122,-107.71635973316896,122
326,0,-134.18826004011103,125
326,61,-138.09918711672088,125
326,122,-155.64355875890575,125
327,0,-133.17113163555032,61
327,61,-104.15359632794878,61
327,122,-133.17113163555032,61
328,0,-94.84782776412212,0
328,61,-109.59935309278312,0
328,122,-119.06314476802793,0
329,0,-154.45016662401287,122
329,61,-155.60030174895883,122
329,122,-126.85907167019944,122
330,0,-135.85595260773962,122
330,61,-135.85595260773962,122
330,122,-106.24430436664547,122
331,0,-83.67828146830688,0
331,61,-113.2211883226899,0
331,122,-113.2211883226899,0
332,0,-141.3358532589864,6
332,61,-148.69304439015232,6
332,122,-121.47242789077983,6
333,0,-130.15272034824267,122
333,61,-119.94392811116445,122
333,122,-104.08068104480341,122
334,0,-108.16411484566096,62
334,61,-115.48538728240597,62
334,122,-88.26552974251243,62
335,0,-127.833550980405,61
335,61,-98.03252356115772,61
335,122,-127.833550980405,61
336,0,-127.99277739845631,61
336,61,-112.78624374993451,61
336,122,-138.5051719523264,61
337,0,-148.5412886028724,67
337,61,-139.40382322772595,67
337,122,-121.98063002724065,67
338,0,-146.50505227241035,61
338,61,-116.60937246777823,61
338,122,-146.50505227241035,61
339,0,-122.30837094453263,63
339,61,-149.04803719313105,63
339,122,-151.0102556656224,63
340,0,-113.99806597248732,61
340,61,-92.80837421987638,61
340,122,-120.34906994617774,61
341,0,-128.88772615048904,122
341,61,-128.88772615048904,122
341,122,-99.1933168977937,122
342,0,-95.80374776513705,0
342,61,-116.88442835492464,0
342,122,-101.73395242656835,0
343,0,-115.46987624855655,61
343,61,-108.70657362105695,61
343,122,-129.87113550565715,61
344,0,-138.36823668535834,122
344,61,-124.1225623836338,122
344,122,-114.37883903552229,122
345,0,-132.90803623120996,61
345,61,-109.84383582893531,61
345,122,-118.85423292200117,61
346,0,-131.83436288651217,61
346,61,-102.60864307725987,61
346,122,-131.83436288651217,61
347,0,-106.42147299217804,0
347,61,-136.31379019093964,0
347,122,-136.31379019093964,0
348,0,-97.827988734185,0
348,61,-127.47804883379224,0
348,122,-127.47804883379224,0
349,0,-103.47156066874159,62
349,61,-129.80435386853176,62
349,122,-120.21141125582108,62
350,0,-98.56286084019342,125
350,61,-98.84467072359494,125
350,122,-118.35707390703777,125
351,0,-130.38910439150666,61
