ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
257,-97.436188,-70.142947,1.5,true,false,122.335987,0
258,202.247381,74.283794,1.5,true,false,216.735635,0
259,27.011347,78.995948,1.5,true,false,86.730748,0
260,218.007106,96.391181,1.5,true,false,239.521623,0
261,43.979021,13.329431,1.5,true,false,51.614708,0
262,95.478432,178.865519,1.5,true,false,204.110889,0
263,-187.801436,-82.878718,1.5,true,false,206.616823,0
264,-43.333444,20.086262,1.5,true,false,53.230586,0
265,69.58493,222.11801,1.5,true,false,233.945983,0
266,226.870695,134.4643,1.5,false,false,264.770109,0
267,182.12909,29.136913,1.5,true,false,185.936051,0
268,173.121194,173.648834,1.5,true,false,246.327253,0
269,126.570264,-129.814838,1.5,true,false,182.822794,0
270,155.530642,155.495368,1.5,false,false,221.18056,0
271,-193.358,17.078136,1.5,true,false,195.528077,0
272,-118.058051,-74.480539,1.5,true,false,141.553185,0
273,37.384966,-45.645037,1.5,true,false,63.508701,0
274,192.751754,16.022107,1.5,true,false,194.838899,0
275,-142.333559,25.058818,1.5,false,false,146.420751,0
276,-19.728427,-208.330939,1.5,false,false,210.578348,0
277,-217.429283,-67.564783,1.5,true,false,228.894611,0
278,197.929824,-74.154498,1.5,true,false,212.66724,0
279,17.834057,-193.438255,1.5,true,false,195.674888,0
280,52.154967,-93.768612,1.5,true,false,109.840535,0
281,211.249321,90.21022,1.5,true,false,230.903463,0
282,64.556702,-34.052526,1.5,true,false,76.677196,0
283,-62.771167,-90.643772,1.5,true,false,112.733148,0
284,40.803063,-197.152771,1.5,false,false,202.697694,0
285,-230.644906,125.369343,1.5,true,false,263.565542,0
286,90.857578,114.842062,1.5,true,false,148.31065,0
287,-23.925434,112.926869,1.5,true,false,117.801333,0
288,-35.723861,153.320365,1.5,true,false,159.171538,0
289,-60.370282,-221.678568,1.5,true,false,230.950662,0
290,-79.236758,232.424412,1.5,true,false,246.681619,0
291,11.888032,-229.717225,1.5,false,false,231.221925,0
292,-42.825068,-173.994922,1.5,true,false,180.722078,0
293,-18.093575,140.581898,1.5,true,false,143.676364,0
294,209.150959,-110.19778,1.5,false,false,237.570882,0
295,-50.863626,-64.642676,1.5,true,false,85.545508,0
296,193.255904,147.065208,1.5,true,false,243.984159,0
297,17.693642,192.312117,1.5,true,false,194.548876,0
298,35.875833,-244.381573,1.5,true,false,248.116261,0
299,99.579837,-209.0855,1.5,true,false,232.777018,0
300,-19.374861,109.97288,1.5,true,false,114.11253,0
301,-92.01506,-32.575677,1.5,true,false,100.400179,0
302,224.803669,-115.58394,1.5,true,false,253.867262,0
303,103.026417,-2.320442,1.5,true,false,105.698046,0
304,-98.619677,-158.945282,1.5,false,false,188.525047,0
305,-40.73428,-149.313129,1.5,true,false,156.543739,0
306,190.47748,-147.215533,1.5,true,false,241.880825,0
307,113.309579,40.412979,1.5,true,false,122.574547,0
308,66.097776,-234.836168,1.5,true,false,245.090171,0
309,6.209561,282.451187,1.5,true,false,283.495118,0
310,9.175399,147.615935,1.5,false,false,149.756143,0
311,-126.683241,173.920605,1.5,true,false,216.446923,0
312,-95.326774,70.86003,1.5,false,false,121.080914,0
313,-61.523182,-128.145084,1.5,true,false,144.078154,0
314,22.578817,224.257525,1.5,true,false,226.613085,0
315,50.975675,-47.172899,1.5,true,false,73.321565,0
316,-146.754766,-63.708714,1.5,true,false,161.703468,0
317,65.340594,-185.163337,1.5,true,false,197.755163,0
