ID,X,Y,Z,Indoor,InCar,BSdist,GCellID,FrequencyGHz
42483,-242.226723,-133.834863,1.5,false,false,277.736937,0,4
31441,123.554663,5.912591,1.5,false,false,125.908552,0,1
51240,-1.063598,-186.190445,1.5,false,false,187.670624,0,4
52515,-173.358842,129.835468,1.5,false,false,217.859558,0,3
15862,11.781925,-258.606738,1.5,false,false,259.939433,0,2
18825,105.098063,164.200407,1.5,false,false,196.366052,0,2
27030,-79.421313,226.695864,1.5,false,false,241.35246,0,1
58025,221.396221,41.308746,1.5,false,false,226.439726,0,1
5769,62.52934,40.432189,1.5,false,false,78.082842,0,2
2985,95.847335,82.918633,1.5,false,false,128.897096,0,3
42426,-66.233807,-228.681768,1.5,false,false,239.237367,0,4
6935,14.923162,-14.325193,1.5,false,false,31.307538,0,3
70572,103.967134,139.547128,1.5,false,false,175.598451,0,4
46782,172.122987,62.679797,1.5,false,false,184.681698,0,1
45038,-105.840688,-126.579839,1.5,false,false,166.664204,0,2
67172,-73.820382,-108.777475,1.5,false,false,133.544891,0,1
22208,93.997165,-191.62696,1.5,false,false,214.729152,0,2
72059,-59.556938,62.488789,1.5,false,false,89.465791,0,4
9661,-19.259085,9.102098,1.5,false,false,31.717669,0,1
56015,-126.638558,-172.593895,1.5,false,false,215.356047,0,3
58220,12.840049,202.668798,1.5,false,false,204.430327,0,3
57858,-65.185213,115.288374,1.5,false,false,134.509372,0,3
45154,-173.759754,-159.46547,1.5,false,false,237.010418,0,3
66890,-118.368625,186.766129,1.5,false,false,222.362246,0,3
1952,-140.198907,-75.732116,1.5,false,false,161.069354,0,3
15917,-125.838507,72.060699,1.5,false,false,146.902431,0,1
15937,148.938371,45.263286,1.5,false,false,157.428248,0,3
42477,-70.00529,-202.629864,1.5,false,false,215.666067,0,3
21656,3.738582,-252.373006,1.5,false,false,253.492329,0,4
30570,-57.992809,-178.218913,1.5,false,false,188.884613,0,2
1120,-133.040193,-104.874968,1.5,false,false,171.028366,0,3
52683,-42.207875,253.467005,1.5,false,false,258.029605,0,3
31407,124.68474,39.797135,1.5,false,false,132.974984,0,1
31303,66.925599,-80.85717,1.5,false,false,107.560066,0,3
